Abramis brama;Freshwater bream
Abudefduf saxatilis;Sergeant-major
Acanthocybium solandri;Wahoo
Acanthopagrus australis;Surf bream
Acanthopagrus butcheri;Southern black bream
Acanthurus chirurgus;Doctorfish
Acipenser fulvescens;Lake sturgeon
Acipenser transmontanus;White sturgeon
Acroteriobatus annulatus;Lesser sandshark
Aetobatus narinari;Spotted eagle ray
Albula vulpes;Bonefish
Alectis ciliaris;African pompano
Alosa sapidissima;American shad
Ambloplites rupestris;Rock bass
Ameiurus catus;White catfish
Ameiurus melas;Black bullhead
Ameiurus natalis;Yellow bullhead
Ameiurus nebulosus;Brown bullhead
Amia calva;Bowfin
Amphistichus argenteus;Barred surfperch
Anguilla anguilla;European eel
Anguilla rostrata;American eel
Anisotremus surinamensis;Black margate
Anisotremus virginicus;Porkfish
Aplodinotus grunniens;Freshwater drum
Archosargus probatocephalus;Sheepshead
Ariopsis felis;Hardhead sea catfish
Arripis trutta;Australian salmon
Arripis truttacea;Western Australian salmon
Astronotus ocellatus;Oscar
Atractosteus spatula;Alligator gar
Bagre marinus;Gafftopsail sea catfish
Balistes capriscus;Gray triggerfish
Barbus barbus;Barbel
Belone belone;Garfish
Blicca bjoerkna;White bream
Bodianus rufus;Spanish hogfish
Cantherhines pullus;Orangespotted filefish
Canthigaster rostrata;Caribbean sharpnose-puffer
Carangoides bartholomaei;Yellow jack
Caranx crysos;Blue runner
Caranx hippos;Crevalle jack
Caranx ignobilis;Giant trevally
Caranx latus;Horse-eye jack
Caranx melampygus;Bluefin trevally
Caranx ruber;Bar jack
Caranx sexfasciatus;Bigeye trevally
Carassius auratus;Goldfish
Carassius carassius;Crucian carp
Carcharhinus leucas;Bull shark
Carcharhinus limbatus;Blacktip shark
Carcharhinus melanopterus;Blacktip reef shark
Carcharhinus obscurus;Dusky shark
Carcharhinus plumbeus;Sandbar shark
Carcharias taurus;Sand tiger shark
Carcharodon carcharias;Great white shark
Carpiodes carpio;River carpsucker
Catostomus commersonii;White sucker
Centrarchus macropterus;Flier
Centropomus undecimalis;Common snook
Centropristis striata;Black seabass
Cephalopholis cruentata;Graysby
Cephalopholis miniata;Coral hind
Channa argus;Northern snakehead
Channa marulius;Great snakehead
Channa striata;Striped snakehead
Cichla ocellaris;Butterfly peacock bass
Clarias gariepinus;North African catfish
Clupea harengus;Atlantic herring
Cnidoglanis macrocephalus;Cobbler
Coregonus clupeaformis;Lake whitefish
Coryphaena hippurus;Mahi Mahi
Ctenopharyngodon idella;Grass carp
Cymatogaster aggregata;Shiner perch
Cynoscion nebulosus;Spotted seatrout
Cynoscion regalis;Squeteague
Cyprinus carpio carpio;Mirror Carp
Cyprinus carpio;Common carp
Cyprinus rubrofuscus;Koi Carp
Dasyatis pastinaca;Common stingray
Dicentrarchus labrax;European seabass
Dorosoma cepedianum;American gizzard shad
Elagatis bipinnulata;Rainbow runner
Elops saurus;Ladyfish
Enneacanthus gloriosus;Bluespotted sunfish
Epinephelus coioides;Orange-spotted grouper
Epinephelus fasciatus;Blacktip grouper
Epinephelus itajara;Atlantic goliath grouper
Epinephelus lanceolatus;Giant grouper
Epinephelus malabaricus;Malabar grouper
Epinephelus marginatus;Dusky grouper
Epinephelus merra;Honeycomb grouper
Epinephelus morio;Red grouper
Epinephelus striatus;Nassau grouper
Epinephelus tukula;Potato grouper
Esox americanus americanus;Redfin pickerel
Esox lucius;Northern pike
Esox masquinongy;Muskellunge
Esox niger;Chain pickerel
Euthynnus alletteratus;Little tunny
Gadus morhua;Atlantic cod
Ginglymostoma cirratum;Nurse shark
Gnathanodon speciosus;Golden trevally
Gymnosarda unicolor;Dogtooth tuna
Haemulon plumierii;White grunt
Hephaestus fuliginosus;Sooty grunter
Herichthys cyanoguttatus;Rio Grande cichlid
Heterodontus portusjacksoni;Port Jackson shark
Hiodon alosoides;Goldeye
Hippoglossus stenolepis;Pacific halibut
Hypanus americanus;Southern stingray
Hypanus sabinus;Atlantic stingray
Hypophthalmichthys molitrix;Silver carp
Ictalurus furcatus;Blue catfish
Ictalurus punctatus;Channel catfish
Ictiobus bubalus;Smallmouth buffalo
Istiophorus albicans;Atlantic Sailfish
Labrus bergylta;Ballan wrasse
Lachnolaimus maximus;Hogfish
Lagodon rhomboides;Pinfish
Lates calcarifer;Barramundi
Leiostomus xanthurus;Spot croaker
Lepisosteus oculatus;Spotted gar
Lepisosteus osseus;Longnose gar
Lepisosteus platyrhincus;Florida gar
Lepomis auritus;Redbreast sunfish
Lepomis cyanellus;Green sunfish
Lepomis gibbosus;Pumpkinseed
Lepomis gulosus;Warmouth
Lepomis macrochirus;Bluegill
Lepomis megalotis;Longear sunfish
Lepomis microlophus;Redear sunfish
Lepomis punctatus;Spotted sunfish
Leuciscus aspius;Asp
Lobotes surinamensis;Tripletail
Lota lota;Burbot
Lutjanus analis;Mutton snapper
Lutjanus apodus;Schoolmaster snapper
Lutjanus argentimaculatus;Mangrove red snapper
Lutjanus argentiventris;Yellow snapper
Lutjanus bohar;Two-spot red snapper
Lutjanus campechanus;Northern red snapper
Lutjanus cyanopterus;Cubera snapper
Lutjanus decussatus;Checkered snapper
Lutjanus fulviflamma;Dory snapper
Lutjanus fulvus;Blacktail snapper
Lutjanus gibbus;Humpback red snapper
Lutjanus griseus;Gray snapper
Lutjanus jocu;Dog snapper
Lutjanus mahogoni;Mahogany snapper
Lutjanus synagris;Lane snapper
Maccullochella peelii;Murray cod
Macquaria ambigua;Golden perch
Macquaria novemaculeata;Australian bass
Makaira nigricans;Blue marlin
Mayaheros urophthalmus;Mayan Cichlid
Megalops atlanticus;Tarpon
Menidia menidia;Atlantic silverside
Menticirrhus americanus;Southern kingcroaker
Menticirrhus saxatilis;Northern kingfish
Merlangius merlangus;Whiting
Micropogonias undulatus;Atlantic croaker
Micropterus coosae;Redeye bass
Micropterus dolomieu;Smallmouth bass
Micropterus floridanus;Florida Bass
Micropterus notius;Suwannee bass
Micropterus punctulatus;Spotted bass
Micropterus salmoides;Largemouth black bass
Micropterus treculii;Guadalupe bass
Morone americana;White perch
Morone chrysops X Morone saxatilis;Wiper (Hybrid striped bass)
Morone chrysops;White bass
Morone mississippiensis;Yellow bass
Morone saxatilis;Striped bass
Moxostoma anisurum;Silver redhorse
Moxostoma macrolepidotum;Shorthead redhorse
Mugil cephalus;Flathead grey mullet
Mugil curema;White mullet
Mustelus canis;Dusky smooth-hound
Mycteroperca bonaci;Black grouper
Mycteroperca microlepis;Gag
Myliobatis aquila;Common eagle ray
Nebrius ferrugineus;Tawny nurse shark
Neogobius melanostomus;Round goby
Nocomis micropogon;River chub
Ocyurus chrysurus;Yellowtail snapper
Oligoplites saurus;Leatherjacket
Oncorhynchus clarkii;Cutthroat trout
Oncorhynchus gorbuscha;Pink salmon
Oncorhynchus keta;Chum salmon
Oncorhynchus kisutch;Coho salmon
Oncorhynchus mykiss;Rainbow trout
Oncorhynchus nerka;Sockeye salmon (kokanee salmon)
Oncorhynchus tshawytscha;Chinook salmon
Ophiodon elongatus;Lingcod
Opisthonema oglinum;Atlantic thread herring
Opsanus tau;Oyster toadfish
Oreochromis aureus;Blue tilapia
Orthopristis chrysoptera;Pigfish
Pachymetopon blochii;Hottentot seabream
Pagrus auratus;Silver seabream
Parachromis managuensis;Jaguar guapote
Paralabrax clathratus;Kelp bass
Paralabrax maculatofasciatus;Spotted sand bass
Paralabrax nebulifer;Barred sand bass
Paralichthys californicus;California halibut
Paralichthys dentatus;Summer flounder
Paralichthys lethostigma;Southern flounder
Perca flavescens;American yellow perch
Perca fluviatilis;European perch
Platichthys flesus;European flounder
Platycephalus fuscus;Dusky flathead
Platycephalus indicus;Bartail flathead
Plectropomus laevis;Blacksaddled coralgrouper
Pogonias cromis;Black drum
Pollachius pollachius;Pollack
Pomatomus saltatrix;Bluefish
Pomoxis annularis;White crappie
Pomoxis nigromaculatus;Black crappie
Prionotus evolans;Striped searobin
Prosopium williamsoni;Mountain whitefish
Pseudopleuronectes americanus;Winter flounder
Pterois volitans;Red lionfish
Ptychocheilus oregonensis;Northern pikeminnow
Pylodictis olivaris;Flathead catfish
Rachycentron canadum;Cobia
Raja clavata;Thornback ray
Rhabdosargus sarba;Goldlined seabream
Rhincodon typus;Whale shark
Rhizoprionodon terraenovae;Atlantic sharpnose shark
Rhomboplites aurorubens;Vermilion snapper
Rutilus rutilus;Roach
Salmo salar;Atlantic salmon
Salmo trutta;Brown trout
Salvelinus confluentus;Bull trout
Salvelinus fontinalis;Brook trout
Salvelinus namaycush;Lake trout
Sander canadensis;Sauger
Sander lucioperca;Zander
Sander vitreus;Walleye
Sarda sarda;Atlantic bonito
Scaphirhynchus platorynchus;Shovelnose sturgeon
Scardinius erythrophthalmus;Rudd
Scarus guacamaia;Rainbow parrotfish
Sciaenops ocellatus;Red Fish (Red Drum)
Scomber japonicus;Chub mackerel
Scomber scombrus;Atlantic mackerel
Scomberomorus cavalla;King mackerel
Scomberomorus commerson;Narrow-barred Spanish mackerel
Scomberomorus maculatus;Atlantic Spanish mackerel
Scomberomorus regalis;Cero mackerel
Scorpaena guttata;California scorpionfish
Scorpaenichthys marmoratus;Cabezon
Scyliorhinus canicula;Lesser spotted dogfish
Sebastes melanops;Black rockfish
Sebastes miniatus;Vermilion rockfish
Selene vomer;Lookdown
Semotilus atromaculatus;Creek chub
Semotilus corporalis;Fallfish
Seriola dumerili;Greater amberjack
Seriola lalandi;Yellowtail amberjack
Seriola rivoliana;Almaco Jack
Silurus glanis;Wels catfish
Sparisoma aurofrenatum;Redband parrotfish
Sparisoma rubripinne;Redfin parrotfish
Sparisoma viride;Stoplight parrotfish
Sphoeroides maculatus;Northern puffer
Sphyraena barracuda;Great barracuda
Sphyrna mokarran;Great hammerhead
Sphyrna tiburo;Bonnethead
Squalus acanthias;Spiny dogfish
Stenotomus chrysops;Scup
Strongylura marina;Atlantic needlefish
Synodus foetens;Inshore lizardfish
Tautoga onitis;Tautog
Thunnus albacares;Yellowfin tuna
Thunnus atlanticus;Blackfin tuna
Thymallus arcticus;Arctic grayling
Thymallus thymallus;Grayling
Tilapia sparrmanii;Banded tilapia
Tinca tinca;Tench
Trachinotus carolinus;Florida pompano
Trachinotus falcatus;Permit
Trachinotus goodei;Palometa
Triaenodon obesus;Whitetip reef shark
Triakis semifasciata;Leopard shark
Tylosurus crocodilus;Hound needlefish
Variola louti;Yellow-edged lyretail
Xiphias gladius;Swordfish
